0.6,0.0261071
0.6,0.00610709
0.6,-0.0138929
0.6,-0.0338929
0.58,0.166107
0.58,0.146107
0.58,0.126107
0.58,0.106107
0.58,0.0861071
0.58,0.0661071
0.58,0.0461071
0.58,0.0261071
0.58,0.00610709
0.58,-0.0138929
0.58,-0.0338929
0.58,-0.0538929
0.58,-0.0738929
0.58,-0.0938929
0.58,-0.113893
0.58,-0.133893
0.58,-0.153893
0.58,-0.173893
0.56,0.206107
0.56,0.186107
0.56,0.166107
0.56,0.146107
0.56,0.126107
0.56,0.106107
0.56,0.0861071
0.56,0.0661071
0.56,0.0461071
0.56,0.0261071
0.56,0.00610709
0.56,-0.0138929
0.56,-0.0338929
0.56,-0.0538929
0.56,-0.0738929
0.56,-0.0938929
0.56,-0.113893
0.56,-0.133893
0.56,-0.153893
0.56,-0.173893
0.56,-0.193893
0.56,-0.213893
0.54,0.246107
0.54,0.226107
0.54,0.206107
0.54,0.186107
0.54,0.166107
0.54,0.146107
0.54,0.126107
0.54,0.106107
0.54,0.0861071
0.54,0.0661071
0.54,0.0461071
0.54,0.0261071
0.54,0.00610709
0.54,-0.0138929
0.54,-0.0338929
0.54,-0.0538929
0.54,-0.0738929
0.54,-0.0938929
0.54,-0.113893
0.54,-0.133893
0.54,-0.153893
0.54,-0.173893
0.54,-0.193893
0.54,-0.213893
0.54,-0.233893
0.54,-0.253893
0.52,0.306107
0.52,0.286107
0.52,0.266107
0.52,0.246107
0.52,0.226107
0.52,0.206107
0.52,0.186107
0.52,0.166107
0.52,0.146107
0.52,0.126107
0.52,0.106107
0.52,0.0861071
0.52,0.0661071
0.52,0.0461071
0.52,0.0261071
0.52,0.00610709
0.52,-0.0138929
0.52,-0.0338929
0.52,-0.0538929
0.52,-0.0738929
0.52,-0.0938929
0.52,-0.113893
0.52,-0.133893
0.52,-0.153893
0.52,-0.173893
0.52,-0.193893
0.52,-0.213893
0.52,-0.233893
0.52,-0.253893
0.52,-0.273893
0.52,-0.293893
0.5,0.326107
0.5,0.306107
0.5,0.286107
0.5,0.266107
0.5,0.246107
0.5,0.226107
0.5,0.206107
0.5,0.186107
0.5,0.166107
0.5,0.146107
0.5,0.126107
0.5,0.106107
0.5,0.0861071
0.5,0.0661071
0.5,0.0461071
0.5,0.0261071
0.5,0.00610709
0.5,-0.0138929
0.5,-0.0338929
0.5,-0.0538929
0.5,-0.0738929
0.5,-0.0938929
0.5,-0.113893
0.5,-0.133893
0.5,-0.153893
0.5,-0.173893
0.5,-0.193893
0.5,-0.213893
0.5,-0.233893
0.5,-0.253893
0.5,-0.273893
0.5,-0.293893
0.5,-0.313893
0.5,-0.333893
0.48,0.346107
0.48,0.326107
0.48,0.306107
0.48,0.286107
0.48,0.266107
0.48,0.246107
0.48,0.226107
0.48,0.206107
0.48,0.186107
0.48,0.166107
0.48,0.146107
0.48,0.126107
0.48,0.106107
0.48,0.0861071
0.48,0.0661071
0.48,0.0461071
0.48,0.0261071
0.48,0.00610709
0.48,-0.0138929
0.48,-0.0338929
0.48,-0.0538929
0.48,-0.0738929
